run	t_period
4.220000000000000e+02	9.423578e-01
4.230000000000000e+02	9.584463e-01
4.240000000000000e+02	9.752955e-01
4.250000000000000e+02	9.532807e-01
4.260000000000000e+02	1.000225e+00
4.270000000000000e+02	9.911635e-01
4.280000000000000e+02	9.923618e-01
4.290000000000000e+02	1.004658e+00
4.300000000000000e+02	1.037422e+00
4.310000000000000e+02	9.928441e-01
4.320000000000000e+02	9.906522e-01
4.330000000000000e+02	1.024483e+00
4.340000000000000e+02	9.802843e-01
4.350000000000000e+02	9.877144e-01
4.360000000000000e+02	1.022193e+00
4.370000000000000e+02	1.009301e+00
4.380000000000000e+02	9.997056e-01
4.390000000000000e+02	9.818901e-01
4.400000000000000e+02	1.019333e+00
4.410000000000000e+02	1.006176e+00
4.420000000000000e+02	1.045142e+00
4.430000000000000e+02	1.010367e+00
4.440000000000000e+02	1.022086e+00
4.450000000000000e+02	1.037630e+00
4.460000000000000e+02	1.025250e+00
4.470000000000000e+02	9.905773e-01
4.480000000000000e+02	9.495456e-01
4.490000000000000e+02	1.019090e+00
4.500000000000000e+02	9.632016e-01
4.510000000000000e+02	1.045429e+00
4.520000000000000e+02	9.810731e-01
4.530000000000000e+02	1.008459e+00
4.540000000000000e+02	1.003045e+00
4.550000000000000e+02	9.486966e-01
4.560000000000000e+02	1.008500e+00
4.570000000000000e+02	1.017819e+00
4.580000000000000e+02	1.026033e+00
4.590000000000000e+02	1.039221e+00
4.600000000000000e+02	1.011416e+00
4.610000000000000e+02	9.516176e-01
4.620000000000000e+02	9.430071e-01
4.630000000000000e+02	1.012173e+00
4.640000000000000e+02	9.721878e-01
4.650000000000000e+02	1.001291e+00
4.660000000000000e+02	1.027992e+00
4.670000000000000e+02	9.689582e-01
4.680000000000000e+02	9.786862e-01
4.690000000000000e+02	9.745901e-01
4.700000000000000e+02	1.022983e+00
4.710000000000000e+02	9.789453e-01
4.720000000000000e+02	9.888504e-01
4.730000000000000e+02	9.733894e-01
4.740000000000000e+02	9.542375e-01
4.750000000000000e+02	9.605926e-01
4.760000000000000e+02	9.749285e-01
4.770000000000000e+02	1.006516e+00
4.780000000000000e+02	9.839744e-01
4.790000000000000e+02	1.027271e+00
4.800000000000000e+02	9.711751e-01
4.810000000000000e+02	1.037179e+00
4.820000000000000e+02	9.891766e-01
4.830000000000000e+02	1.029859e+00
4.840000000000000e+02	1.036299e+00
4.850000000000000e+02	9.724013e-01
4.860000000000000e+02	9.723290e-01
4.870000000000000e+02	9.812467e-01
4.880000000000000e+02	1.025581e+00
4.890000000000000e+02	1.026214e+00
4.900000000000000e+02	9.745145e-01
4.910000000000000e+02	9.685463e-01
4.920000000000000e+02	1.039607e+00
4.930000000000000e+02	1.006126e+00
4.940000000000000e+02	9.767312e-01
4.950000000000000e+02	9.856939e-01
4.960000000000000e+02	9.959264e-01
4.970000000000000e+02	1.002252e+00
4.980000000000000e+02	1.043622e+00
4.990000000000000e+02	1.017770e+00
5.000000000000000e+02	1.003313e+00
